Unnamed: 7	PC1_de-meaned	PC1_sqrDM
1.0	1.2766890179000001	-25.728441533437127
1.0	-0.8106621751	-26.70120321972573
1.0	-1.1057210390999999	-26.13575736555521
1.0	0.1361393549	-27.339842457911004
1.0	1.2458765499	-25.806168004272866
1.0	1.7038710799	-24.455199724944002
1.0	-8.5876958661	46.39014390676745
1.0	4.5134631989	-6.987026334038969
1.0	-4.536243354100001	-6.780872614247169
1.0	3.1086671399	-17.694564995169547
1.0	2.3248012769	-21.953675404787724
1.0	-1.7266512350999998	-24.37705189419124
1.0	2.4877369429	-21.169541284794157
1.0	-3.2943829611	-16.505417287477588
1.0	9.379594042899999	60.61840802774155
1.0	1.7038710799	-24.455199724944002
1.0	1.8668067459	-23.873408955325846
1.0	-13.061154330099999	143.23537605282635
1.0	-0.9427853720999999	-26.469532124017856
1.0	-3.1314472951	-17.552414219874485
1.0	-0.3218551761	-27.25478562748123
1.0	-2.9685116281	-18.54631509569868
1.0	-6.1039750801	9.900135396618204
1.0	-2.8055759621	-19.48711990275025
1.0	11.7003791599	109.54049610355864
1.0	2.0297424129	-23.23852211913848
1.0	3.7295973359	-13.448480093911217
1.0	-1.7266512350999998	-24.37705189419124
1.0	-0.4847908421	-27.123354221279566
1.0	14.8358426099	192.74384956386086
1.0	-4.9942378850999996	-2.415964328895477
1.0	-2.9685116281	-18.54631509569868
1.0	-6.8878409431	20.083976475581096
1.0	4.8393345319	-3.9392176702238046
1.0	-4.1573319671	-10.074967297192035
1.0	-1.1057210390999999	-26.13575736555521
1.0	4.8393345319	-3.9392176702238046
		
		
		
		
		
		
		
